country_code,country_name,region_name,sub_region_name,intermediate_region_name
332,Haiti,Americas,Latin America and the Caribbean,Caribbean
340,Honduras,Americas,Latin America and the Caribbean,Central America
344,"China, Hong Kong SAR",Asia,Eastern Asia,NA
348,Hungary,Europe,Eastern Europe,NA
352,Iceland,Europe,Northern Europe,NA
360,Indonesia,Asia,South-eastern Asia,NA
364,Iran,Asia,Southern Asia,NA
368,Iraq,Asia,Western Asia,NA
372,Ireland,Europe,Northern Europe,NA
376,Israel,Asia,Western Asia,NA
380,Italy,Europe,Southern Europe,NA
384,CÃ´te d'Ivoire,Africa,Sub-Saharan Africa,Western Africa
388,Jamaica,Americas,Latin America and the Caribbean,Caribbean
392,Japan,Asia,Eastern Asia,NA
398,Kazakhstan,Asia,Central Asia,NA
400,Jordan,Asia,Western Asia,NA
404,Kenya,Africa,Sub-Saharan Africa,Eastern Africa
408,Dem. People's Rep. of Korea,Asia,Eastern Asia,NA
410,Rep. of Korea,Asia,Eastern Asia,NA
414,Kuwait,Asia,Western Asia,NA
417,Kyrgyzstan,Asia,Central Asia,NA
418,Lao People's Dem. Rep.,Asia,South-eastern Asia,NA
422,Lebanon,Asia,Western Asia,NA
426,Lesotho,Africa,Sub-Saharan Africa,Southern Africa
428,Latvia,Europe,Northern Europe,NA
430,Liberia,Africa,Sub-Saharan Africa,Western Africa
434,Libya,Africa,Northern Africa,NA
440,Lithuania,Europe,Northern Europe,NA
442,Luxembourg,Europe,Western Europe,NA
446,"China, Macao SAR",Asia,Eastern Asia,NA
450,Madagascar,Africa,Sub-Saharan Africa,Eastern Africa
454,Malawi,Africa,Sub-Saharan Africa,Eastern Africa
458,Malaysia,Asia,South-eastern Asia,NA
462,Maldives,Asia,Southern Asia,NA
466,Mali,Africa,Sub-Saharan Africa,Western Africa
470,Malta,Europe,Southern Europe,NA
478,Mauritania,Africa,Sub-Saharan Africa,Western Africa
480,Mauritius,Africa,Sub-Saharan Africa,Eastern Africa
484,Mexico,Americas,Latin America and the Caribbean,Central America
496,Mongolia,Asia,Eastern Asia,NA
498,Rep. of Moldova,Europe,Eastern Europe,NA
499,Montenegro,Europe,Southern Europe,NA
500,Montserrat,Americas,Latin America and the Caribbean,Caribbean
504,Morocco,Africa,Northern Africa,NA
508,Mozambique,Africa,Sub-Saharan Africa,Eastern Africa
512,Oman,Asia,Western Asia,NA
516,Namibia,Africa,Sub-Saharan Africa,Southern Africa
520,Nauru,Oceania,Micronesia,NA
524,Nepal,Asia,Southern Asia,NA
528,Netherlands,Europe,Western Europe,NA
531,CuraÃ§ao,Americas,Latin America and the Caribbean,Caribbean
533,Aruba,Americas,Latin America and the Caribbean,Caribbean
534,Saint Maarten,Americas,Latin America and the Caribbean,Caribbean
535,Bonaire,Americas,Latin America and the Caribbean,Caribbean
540,New Caledonia,Oceania,Melanesia,NA
548,Vanuatu,Oceania,Melanesia,NA
554,New Zealand,Oceania,Australia and New Zealand,NA
558,Nicaragua,Americas,Latin America and the Caribbean,Central America
562,Niger,Africa,Sub-Saharan Africa,Western Africa
566,Nigeria,Africa,Sub-Saharan Africa,Western Africa
570,Niue,Oceania,Polynesia,NA
574,Norfolk Isds,Oceania,Australia and New Zealand,NA
580,N. Mariana Isds,Oceania,Micronesia,NA
583,FS Micronesia,Oceania,Micronesia,NA
584,Marshall Isds,Oceania,Micronesia,NA
585,Palau,Oceania,Micronesia,NA
586,Pakistan,Asia,Southern Asia,NA
591,Panama,Americas,Latin America and the Caribbean,Central America
598,Papua New Guinea,Oceania,Melanesia,NA
600,Paraguay,Americas,Latin America and the Caribbean,South America
604,Peru,Americas,Latin America and the Caribbean,South America
608,Philippines,Asia,South-eastern Asia,NA
612,Pitcairn,Oceania,Polynesia,NA
616,Poland,Europe,Eastern Europe,NA
620,Portugal,Europe,Southern Europe,NA
624,Guinea-Bissau,Africa,Sub-Saharan Africa,Western Africa
626,Timor-Leste,Asia,South-eastern Asia,NA
634,Qatar,Asia,Western Asia,NA
642,Romania,Europe,Eastern Europe,NA
643,Russian Federation,Europe,Eastern Europe,NA
646,Rwanda,Africa,Sub-Saharan Africa,Eastern Africa
652,Saint BarthÃ©lemy,Americas,Latin America and the Caribbean,Caribbean
654,Saint Helena,Africa,Sub-Saharan Africa,Western Africa
659,Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Caribbean
660,Anguilla,Americas,Latin America and the Caribbean,Caribbean
662,Saint Lucia,Americas,Latin America and the Caribbean,Caribbean
666,Saint Pierre and Miquelon,Americas,Northern America,NA
670,Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,Caribbean
674,San Marino,Europe,Southern Europe,NA
678,Sao Tome and Principe,Africa,Sub-Saharan Africa,Middle Africa
682,Saudi Arabia,Asia,Western Asia,NA
686,Senegal,Africa,Sub-Saharan Africa,Western Africa
688,Serbia,Europe,Southern Europe,NA
690,Seychelles,Africa,Sub-Saharan Africa,Eastern Africa
694,Sierra Leone,Africa,Sub-Saharan Africa,Western Africa
702,Singapore,Asia,South-eastern Asia,NA
703,Slovakia,Europe,Eastern Europe,NA
704,Viet Nam,Asia,South-eastern Asia,NA
705,Slovenia,Europe,Southern Europe,NA
706,Somalia,Africa,Sub-Saharan Africa,Eastern Africa
710,South Africa,Africa,Sub-Saharan Africa,Southern Africa
716,Zimbabwe,Africa,Sub-Saharan Africa,Eastern Africa
724,Spain,Europe,Southern Europe,NA
728,South Sudan,Africa,Sub-Saharan Africa,Eastern Africa
729,Sudan,Africa,Northern Africa,NA
740,Suriname,Americas,Latin America and the Caribbean,South America
748,Eswatini,Africa,Sub-Saharan Africa,Southern Africa
752,Sweden,Europe,Northern Europe,NA
760,Syria,Asia,Western Asia,NA
762,Tajikistan,Asia,Central Asia,NA
764,Thailand,Asia,South-eastern Asia,NA
768,Togo,Africa,Sub-Saharan Africa,Western Africa
772,Tokelau,Oceania,Polynesia,NA
776,Tonga,Oceania,Polynesia,NA
780,Trinidad and Tobago,Americas,Latin America and the Caribbean,Caribbean
784,United Arab Emirates,Asia,Western Asia,NA
788,Tunisia,Africa,Northern Africa,NA
792,TÃ¼rkiye,Asia,Western Asia,NA
795,Turkmenistan,Asia,Central Asia,NA
796,Turks and Caicos Isds,Americas,Latin America and the Caribbean,Caribbean
798,Tuvalu,Oceania,Polynesia,NA
800,Uganda,Africa,Sub-Saharan Africa,Eastern Africa
804,Ukraine,Europe,Eastern Europe,NA
807,North Macedonia,Europe,Southern Europe,NA
818,Egypt,Africa,Northern Africa,NA
826,United Kingdom,Europe,Northern Europe,NA
834,United Rep. of Tanzania,Africa,Sub-Saharan Africa,Eastern Africa
854,Burkina Faso,Africa,Sub-Saharan Africa,Western Africa
858,Uruguay,Americas,Latin America and the Caribbean,South America
860,Uzbekistan,Asia,Central Asia,NA
862,Venezuela,Americas,Latin America and the Caribbean,South America
876,Wallis and Futuna Isds,Oceania,Polynesia,NA
882,Samoa,Oceania,Polynesia,NA
887,Yemen,Asia,Western Asia,NA
894,Zambia,Africa,Sub-Saharan Africa,Eastern Africa
